"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"6357";"RES-353986";"SM802-9506";330402;7;"Sixt";"Denmark";"42";"0.00";"2019";"3/7/2022";13;"12/6/2022";17;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"37182";"802";"EDMR";"EDMR";"91.84";"0.00";"489.91";"Retail-Sixt-Sixt";"Retail";1;"Hyundai";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"27441";"RES-359749";"SM002-79461";446397;2;"Sixt";"Greece";"52";"0.00";"2019";"19/7/2022";22;"24/6/2022";23;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"46752";"2";"EDMR";"EDMR";"19.14";"0.00";"241.86";"Retail-Sixt-Sixt";"Retail";0;"Opel";"Grey";"Sixt Import Rates";"IN";"7.10";"0.00"
"60982";"RES-398699";"NULL";490059;5;"Sixt";"United Kingdom";"25";"0.00";"NULL";"22/9/2022";20;"21/9/2022";10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"609";"IFAR";"IFAR";"0.00";"36.30";"379.09";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"44304";"RES-369013";"SM701-19317";456208;4;"Sixt";"Israel";"42";"0.00";"2019";"18/7/2022";18;"13/7/2022";23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"30887";"701";"EDMR";"EDMR";"0.00";"0.00";"214.57";"Retail Brokers Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"106.57";"0.00"
"22621";"RES-342939";"SM002-80079";429047;7;"Sixt";"France";"25";"0.00";"2019";"26/7/2022";10;"24/5/2022";13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"63982";"2";"MDMR";"MDMR";"0.00";"0.00";"501.68";"Retail-Sixt-Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"47561";"RES-381050";"SM312-18711";469841;3;"Sixt";"United States of America";"43";"0.00";"2019";"12/8/2022";18;"12/8/2022";14;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"40251";"312";"EDMR";"EDMR";"0.00";"10.89";"261.40";"Retail Brokers Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"33.46";"0.00"
"21967";"RES-388679";"NULL";442906;4;"Sixt";"Egypt";"26";"0.00";"NULL";"6/9/2022";12;"29/8/2022";14;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"NULL";"2";"MDAE";"MDAE";"52.48";"0.00";"233.75";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"66807";"NULL";"SM302-35321";442855;6;"Walk in";"Germany";"29";"0.00";"2019";"18/6/2022";0;"18/6/2022";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"35115";"302";"IFMR";"JFMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Mazda";"White";"Walk In Rates";"IN";"NULL";"NULL"
"65304";"NULL";"SM302-36645";455805;10;"Walk in";"Switzerland";"52";"0.00";"2019";"13/7/2022";10;"13/7/2022";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"24741";"302";"CWMR";"CWMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Fiat";"White";"Walk In Rates";"IN";"NULL";"NULL"
"57320";"RES-389777";"SM302-40413";479582;14;"Sixt";"France";"58";"0.00";"2019";"16/9/2022";10;"31/8/2022";19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"49009";"302";"MDMR";"MDMR";"0.00";"0.00";"448.59";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"99.99";"0.00"
"16928";"RES-344223";"SM002-83346";430163;8;"Online Broker";"Switzerland";"33";"409.81";"2022";"4/9/2022";21;"25/5/2022";12;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"15785";"2";"EDMR";"EDMR";"0.00";"29.04";"376.95";"Retail Brokers Sixt";"Retail";0;"Peugeot";"Grey";"Sixt Import Rates";"IN";"104.96";"0.00"
"28140";"RES-352913";"SM312-16986";438909;7;"Sixt";"United Kingdom";"33";"0.00";"2021";"25/6/2022";14;"9/6/2022";23;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;"25657";"312";"CDMR";"CDMR";"50.26";"50.82";"502.41";"Retail-Sixt-Sixt";"Retail";0;"Ford";"Black";"Sixt Import Rates";"IN";"37.44";"0.00"
"42180";"RES-372231";"NULL";459712;3;"Sixt";"Blank";"NULL";"159.56";"NULL";"18/9/2022";9;"21/7/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"503";"CCAR";"CCAR";"0.00";"0.00";"128.68";"Corporate-Sixt-Sixt";"Corporate";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"739";"RES-367371";"SM003-34318";1080;4;"Walk in";"Greece";"31";"0.00";"2019";"25/8/2022";11;"11/7/2022";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"50722";"3";"PDAR";"PDAR";"0.00";"0.00";"0.00";"Retail-Sixt-Sixt";"Retail";14;"Audi";"Black";"Walk In Rates";"IN";"162.65";"0.00"
"13179";"RES-320258";"SM002-76887";404130;4;"NULL";"France";"77";"293.26";"2019";"23/6/2022";20;"7/3/2022";18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"51940";"2";"EDMR";"EDMR";"0.00";"0.00";"236.51";"Retail Brokers Sixt";"Retail";0;"Citroen";"White";"Sixt Import Rates";"IN";"75.86";"0.00"
"48530";"RES-385779";"SM503-8246";475179;6;"Sixt";"Romania";"62";"0.00";"2019";"25/8/2022";15;"22/8/2022";17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"49496";"503";"CDMR";"CDMR";"0.00";"0.00";"360.27";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"79.59";"137.27"
"52394";"RES-384716";"SM312-19049";473925;5;"Sixt";"Canada";"34";"0.00";"2022";"22/8/2022";18;"20/8/2022";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"5977";"312";"MDMR";"MDMR";"0.00";"0.00";"172.70";"Retail Brokers Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"98.60";"43.92"
"11231";"RES-324924";"NULL";408396;11;"NULL";"France";"NULL";"1843.61";"NULL";"6/8/2022";17;"27/3/2022";17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"302";"IFMR";"IFMR";"0.00";"0.00";"1486.78";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"25012";"RES-360244";"SM503-6328";447021;11;"Sixt";"Italy";"48";"0.00";"2019";"8/7/2022";14;"26/6/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"60935";"503";"EDMR";"EDMR";"39.05";"0.00";"565.07";"Retail-Sixt-Sixt";"Retail";0;"Opel";"Silver";"Sixt Import Rates";"IN";"185.80";"0.00"
"53864";"RES-393171";"SM812-7160";483530;5;"Sixt";"Germany";"26";"0.00";"2019";"19/9/2022";19;"7/9/2022";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"64423";"812";"EDAR";"EDAR";"0.00";"0.00";"219.59";"Retail-Sixt-Sixt";"Retail";0;"Peugeot";"Red";"Sixt Import Rates";"IN";"98.69";"13.25"
"37574";"RES-366553";"SM312-18373";453475;3;"Sixt";"Blank";"NULL";"0.00";"2021";"2/8/2022";18;"9/7/2022";13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"312";"SFMR";"SFMR";"0.00";"0.00";"499.06";"Retail Brokers Sixt";"Retail";0;"Suzuki";"White";"Sixt Import Rates";"CNC";"0.00";"0.00"
"47212";"RES-374037";"SM721-374";461855;9;"NULL";"United Kingdom";"44";"760.69";"2019";"26/7/2022";16;"26/7/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"19907";"721";"MDMR";"MDMR";"0.00";"0.00";"613.46";"Retail Brokers Sixt";"Retail";0;"Fiat";"White";"Sixt Import Rates";"IN";"0.00";"102.22"
"48687";"RES-386452";"SM302-39275";475878;7;"Sixt";"Germany";"55";"0.00";"2022";"28/8/2022";12;"23/8/2022";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"8112";"302";"MDMR";"MDMR";"0.00";"0.00";"232.76";"Retail-Sixt-Sixt";"Retail";0;"Fiat";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"23425";"RES-351952";"SM312-16620";437996;11;"Sixt";"Belarus";"43";"0.00";"2019";"14/6/2022";20;"7/6/2022";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"24329";"312";"MDMR";"MDMR";"0.00";"0.00";"375.56";"Retail-Sixt-Sixt";"Retail";0;"Peugeot";"White";"Sixt Import Rates";"IN";"96.69";"0.00"
